player,team1,team2,team,Our Score
Q de Kock,CSK,MI,MI,37
RA Jadeja,CSK,MI,CSK,30
RD Chahar,CSK,MI,MI,25
RD Gaikwad,CSK,MI,CSK,28
S Curran,CSK,MI,CSK,28
SN Thakur,CSK,MI,CSK,22
TA Boult,CSK,MI,MI,22
AB de Villiers,RR,RCB,RCB,45
AJ Finch,RR,RCB,RCB,32
BA Stokes,RR,RCB,RR,37
CH Morris,RR,RCB,RCB,35
D Padikkal,RR,RCB,RCB,27
Gurkeerat Singh,RR,RCB,RCB,18
I Udana,RR,RCB,RCB,21
J Archer,RR,RCB,RR,37
JC Buttler,RR,RCB,RR,42
JD Unadkat,RR,RCB,RR,31
Kartik Tyagi,RR,RCB,RR,35
N Saini,RR,RCB,RCB,27
R Tewatia,RR,RCB,RR,27
RV Uthappa,RR,RCB,RR,33
S Gopal,RR,RCB,RR,35
SPD Smith,RR,RCB,RR,36
SV Samson,RR,RCB,RR,34
Shahbaz Ahmed ,RR,RCB,RCB,33
V Kohli,RR,RCB,RCB,42
Washington Sundar,RR,RCB,RCB,24
YS Chahal,RR,RCB,RCB,29
AD Russell,KXIP,KKR,KKR,54
Arshdeep Singh,KXIP,KKR,KXIP,33
CJ Jordan,KXIP,KKR,KXIP,26
CV Varun,KXIP,KKR,KKR,33
EJG Morgan,KXIP,KKR,KKR,30
GJ Maxwell,KXIP,KKR,KXIP,34
KD Karthik,KXIP,KKR,KKR,30
KL Nagarkoti,KXIP,KKR,KKR,31
KL Rahul,KXIP,KKR,KXIP,45
M Ur Rahman,KXIP,KKR,KXIP,16
MA Agarwal,KXIP,KKR,KXIP,23
Mohammed Shami,KXIP,KKR,KXIP,24
N Pooran,KXIP,KKR,KXIP,39
N Rana,KXIP,KKR,KKR,39
PJ Cummins,KXIP,KKR,KKR,29
Prabhsimran Singh,KXIP,KKR,KXIP,18
Prasidh Krishna ,KXIP,KKR,KKR,19
RA Tripathi,KXIP,KKR,KKR,29
Ravi Bishnoi,KXIP,KKR,KXIP,29
SP Narine,KXIP,KKR,KKR,39
Shubman Gill,KXIP,KKR,KKR,34
AM Rahane,SRH,DC,DC,35
Anrich Nortje,SRH,DC,DC,15
DA Warner,SRH,DC,SRH,52
Deshpande,SRH,DC,DC,28
HV Patel,SRH,DC,DC,31
JO Holder,SRH,DC,SRH,31
K Rabada,SRH,DC,DC,27
KS Williamson,SRH,DC,SRH,43
MK Pandey,SRH,DC,SRH,32
MP Stoinis,SRH,DC,DC,36
R Ashwin,SRH,DC,DC,24
RR Pant,SRH,DC,DC,40
Rashid Khan,SRH,DC,SRH,31
S Hetmyer,SRH,DC,DC,32
S Nadeem,SRH,DC,SRH,22
SS Iyer,SRH,DC,DC,38
Sandeep Sharma,SRH,DC,SRH,35
T Natarajan,SRH,DC,SRH,28
V Shankar,SRH,DC,SRH,28
WP Saha,SRH,DC,SRH,27
AB de Villiers,CSK,RCB,RCB,43
AJ Finch,CSK,RCB,RCB,30
AT Rayudu,CSK,RCB,CSK,29
CH Morris,CSK,RCB,RCB,32
D Padikkal,CSK,RCB,RCB,25
DJ Bravo,CSK,RCB,CSK,44
DL Chahar,CSK,RCB,CSK,22
F du Plessis,CSK,RCB,CSK,32
I Udana,CSK,RCB,RCB,19
Jagadeesan,CSK,RCB,CSK,32
KV Sharma,CSK,RCB,CSK,25
MS Dhoni,CSK,RCB,CSK,33
N Saini,CSK,RCB,RCB,25
RA Jadeja,CSK,RCB,CSK,31
S Curran,CSK,RCB,CSK,29
S Dube,CSK,RCB,RCB,13
SN Thakur,CSK,RCB,CSK,23
SR Watson,CSK,RCB,CSK,52
V Kohli,CSK,RCB,RCB,40
Washington Sundar,CSK,RCB,RCB,22
YS Chahal,CSK,RCB,RCB,27
AD Russell,MI,KKR,KKR,53
AS Yadav,MI,KKR,MI,23
CJ Green,MI,KKR,KKR,33
CV Varun,MI,KKR,KKR,32
EJG Morgan,MI,KKR,KKR,29
HH Pandya,MI,KKR,MI,33
JJ Bumrah,MI,KKR,MI,27
KD Karthik,MI,KKR,KKR,28
MEK Hussey,MI,KKR,KKR,44
N Rana,MI,KKR,KKR,38
NM Coulter-Nile,MI,KKR,MI,34
PJ Cummins,MI,KKR,KKR,27
Prasidh Krishna,MI,KKR,KKR,17
Q de Kock,MI,KKR,MI,37
RA Tripathi,MI,KKR,KKR,28
RD Chahar,MI,KKR,MI,26
RG Sharma,MI,KKR,MI,37
Shivam Mavi,MI,KKR,KKR,32
Shubman Gill,MI,KKR,KKR,32
TA Boult,MI,KKR,MI,22
AS Rajpoot,RR,KXIP,RR,30
Cottrell,RR,KXIP,KXIP,35
GJ Maxwell,RR,KXIP,KXIP,37
J Archer,RR,KXIP,RR,38
JC Buttler,RR,KXIP,RR,43
JD Unadkat,RR,KXIP,RR,32
JDS Neesham,RR,KXIP,KXIP,31
KL Rahul,RR,KXIP,KXIP,47
M Ashwin,RR,KXIP,KXIP,16
MA Agarwal,RR,KXIP,KXIP,26
Mohammed Shami,RR,KXIP,KXIP,27
N Pooran,RR,KXIP,KXIP,41
R Parag,RR,KXIP,RR,37
R Tewatia,RR,KXIP,RR,29
RV Uthappa,RR,KXIP,RR,34
Ravi Bishnoi,RR,KXIP,KXIP,31
S Gopal,RR,KXIP,RR,37
SPD Smith,RR,KXIP,RR,38
SV Samson,RR,KXIP,RR,35
T Curran,RR,KXIP,RR,29
AT Rayudu,SRH,CSK,CSK,30
DA Warner,SRH,CSK,SRH,50
DJ Bravo,SRH,CSK,CSK,44
DL Chahar,SRH,CSK,CSK,23
J Bairstow,SRH,CSK,SRH,35
K Ahmed,SRH,CSK,SRH,32
KS Williamson,SRH,CSK,SRH,41
KV Sharma,SRH,CSK,CSK,25
MK Pandey,SRH,CSK,SRH,30
MS Dhoni,SRH,CSK,CSK,33
PP Chawla,SRH,CSK,CSK,28
Priyam Garg,SRH,CSK,SRH,19
RA Jadeja,SRH,CSK,CSK,31
Rashid Khan,SRH,CSK,SRH,30
S Curran,SRH,CSK,CSK,29
S Nadeem,SRH,CSK,SRH,20
SN Thakur,SRH,CSK,CSK,23
SR Watson,SRH,CSK,CSK,52
Sandeep Sharma,SRH,CSK,SRH,33
T Natarajan,SRH,CSK,SRH,26
V Shankar,SRH,CSK,SRH,26
AM Rahane,MI,DC,DC,35
AR Patel,MI,DC,DC,32
AS Yadav,MI,DC,MI,26
Anrich Nortje,MI,DC,DC,14
Carey,MI,DC,DC,31
HH Pandya,MI,DC,MI,35
HV Patel,MI,DC,DC,30
Ishan Kishan,MI,DC,MI,30
JJ Bumrah,MI,DC,MI,29
JL Pattinson,MI,DC,MI,28
K Rabada,MI,DC,DC,26
KA Pollard,MI,DC,MI,36
KH Pandya,MI,DC,MI,29
MP Stoinis,MI,DC,DC,35
P Shaw,MI,DC,DC,25
Q de Kock,MI,DC,MI,39
R Ashwin,MI,DC,DC,24
RD Chahar,MI,DC,MI,28
RG Sharma,MI,DC,MI,40
S Dhawan,MI,DC,DC,36
SS Iyer,MI,DC,DC,37
TA Boult,MI,DC,MI,25
AD Russell,KKR,RR,KKR,54
BA Stokes,KKR,RR,RR,36
CV Varun,KKR,RR,KKR,33
EJG Morgan,KKR,RR,KKR,30
J Archer,KKR,RR,RR,36
JC Buttler,KKR,RR,RR,40
KL Nagarkoti,KKR,RR,KKR,31
Kartik Tyagi,KKR,RR,RR,34
PJ Cummins,KKR,RR,KKR,29
R Parag,KKR,RR,RR,35
R Tewatia,KKR,RR,RR,26
RA Tripathi,KKR,RR,KKR,29
RV Uthappa,KKR,RR,RR,32
S Gopal,KKR,RR,RR,34
SP Narine,KKR,RR,KKR,39
SPD Smith,KKR,RR,RR,35
SV Samson,KKR,RR,RR,33
Shivam Mavi,KKR,RR,KKR,34
Shubman Gill,KKR,RR,KKR,34
VR Aaron,KKR,RR,RR,27
AB de Villiers,RCB,KXIP,RCB,46
AJ Finch,RCB,KXIP,RCB,32
Arshdeep Singh,RCB,KXIP,KXIP,35
CH Gayle,RCB,KXIP,KXIP,56
CH Morris,RCB,KXIP,RCB,35
CJ Jordan,RCB,KXIP,KXIP,27
D Padikkal,RCB,KXIP,RCB,27
GJ Maxwell,RCB,KXIP,KXIP,36
I Udana,RCB,KXIP,RCB,21
KL Rahul,RCB,KXIP,KXIP,47
M Ashwin,RCB,KXIP,KXIP,16
MA Agarwal,RCB,KXIP,KXIP,25
Mohammed Shami,RCB,KXIP,KXIP,26
Mohammed Siraj,RCB,KXIP,RCB,26
N Pooran,RCB,KXIP,KXIP,40
N Saini,RCB,KXIP,RCB,28
Ravi Bishnoi,RCB,KXIP,KXIP,31
S Dube,RCB,KXIP,RCB,16
V Kohli,RCB,KXIP,RCB,43
Washington Sundar,RCB,KXIP,RCB,25
YS Chahal,RCB,KXIP,RCB,29
A Mishra,DC,SRH,DC,29
AR Patel,DC,SRH,DC,30
Abdul Samad,DC,SRH,SRH,17
Abhishek Sharma,DC,SRH,SRH,17
Ankit Sharma,DC,SRH,DC,13
Anrich Nortje,DC,SRH,DC,13
DA Warner,DC,SRH,SRH,50
J Bairstow,DC,SRH,SRH,35
K Ahmed,DC,SRH,SRH,32
K Rabada,DC,SRH,DC,25
KS Williamson,DC,SRH,SRH,41
MK Pandey,DC,SRH,SRH,30
MP Stoinis,DC,SRH,DC,34
P Kumar,DC,SRH,SRH,24
P Shaw,DC,SRH,DC,24
RR Pant,DC,SRH,DC,38
Rashid Khan,DC,SRH,SRH,30
S Dhawan,DC,SRH,DC,35
S Hetmyer,DC,SRH,DC,30
SS Iyer,DC,SRH,DC,36
T Natarajan,DC,SRH,SRH,26
AS Rajpoot,CSK,RR,RR,26
AT Rayudu,CSK,RR,CSK,29
BA Stokes,CSK,RR,RR,35
DL Chahar,CSK,RR,CSK,22
F du Plessis,CSK,RR,CSK,32
Hazlewood,CSK,RR,CSK,23
J Archer,CSK,RR,RR,35
JC Buttler,CSK,RR,RR,39
KM Jadhav,CSK,RR,CSK,19
Kartik Tyagi,CSK,RR,RR,32
MS Dhoni,CSK,RR,CSK,32
PP Chawla,CSK,RR,CSK,27
R Tewatia,CSK,RR,RR,25
RA Jadeja,CSK,RR,CSK,31
RV Uthappa,CSK,RR,RR,31
S Curran,CSK,RR,CSK,28
S Gopal,CSK,RR,RR,33
SN Thakur,CSK,RR,CSK,23
SPD Smith,CSK,RR,RR,34
SR Watson,CSK,RR,CSK,51
SV Samson,CSK,RR,RR,31
AB de Villiers,SRH,RCB,RCB,45
AJ Finch,SRH,RCB,RCB,31
Abhishek Sharma,SRH,RCB,SRH,18
D Padikkal,SRH,RCB,RCB,26
DA Warner,SRH,RCB,SRH,51
DW Steyn,SRH,RCB,RCB,29
J Bairstow,SRH,RCB,SRH,37
MK Pandey,SRH,RCB,SRH,31
MR Marsh,SRH,RCB,SRH,39
N Saini,SRH,RCB,RCB,27
P Kumar,SRH,RCB,SRH,25
Philippe,SRH,RCB,RCB,18
Priyam Garg,SRH,RCB,SRH,20
Rashid Khan,SRH,RCB,SRH,31
S Dube,SRH,RCB,RCB,15
Sandeep Sharma,SRH,RCB,SRH,34
T Natarajan,SRH,RCB,SRH,27
UT Yadav,SRH,RCB,RCB,28
V Kohli,SRH,RCB,RCB,42
V Shankar,SRH,RCB,SRH,28
Washington Sundar,SRH,RCB,RCB,24
YS Chahal,SRH,RCB,RCB,28
Anrich Nortje,DC,MI,DC,14
HV Patel,DC,MI,DC,29
Ishan Kishan,DC,MI,MI,29
JJ Bumrah,DC,MI,MI,28
K Rabada,DC,MI,DC,25
KH Pandya,DC,MI,MI,25
MJ Guptill,DC,MI,DC,21
MP Stoinis,DC,MI,DC,34
NM Coulter-Nile,DC,MI,MI,35
P Shaw,DC,MI,DC,24
Praveen Dubey,DC,MI,DC,15
Q de Kock,DC,MI,MI,38
R Ashwin,DC,MI,DC,23
RD Chahar,DC,MI,MI,27
RR Pant,DC,MI,DC,38
S Dhawan,DC,MI,DC,35
S Hetmyer,DC,MI,DC,31
SA Yadav,DC,MI,MI,14
SS Iyer,DC,MI,DC,36
TA Boult,DC,MI,MI,24
AT Rayudu,CSK,KKR,CSK,28
CV Varun,CSK,KKR,KKR,31
DL Chahar,CSK,KKR,CSK,20
EJG Morgan,CSK,KKR,KKR,28
KD Karthik,CSK,KKR,KKR,27
KL Nagarkoti,CSK,KKR,KKR,28
KV Sharma,CSK,KKR,CSK,23
L Ferguson,CSK,KKR,KKR,22
L Ngidi,CSK,KKR,CSK,23
M Santner,CSK,KKR,CSK,14
MS Dhoni,CSK,KKR,CSK,31
N Rana,CSK,KKR,KKR,37
PJ Cummins,CSK,KKR,KKR,26
R Singh,CSK,KKR,CSK,24
RA Jadeja,CSK,KKR,CSK,29
RA Tripathi,CSK,KKR,KKR,26
RD Gaikwad,CSK,KKR,CSK,27
S Curran,CSK,KKR,CSK,27
SP Narine,CSK,KKR,KKR,36
SR Watson,CSK,KKR,CSK,50
Shubman Gill,CSK,KKR,KKR,31
Arshdeep Singh,KXIP,RR,KXIP,34
BA Stokes,KXIP,RR,RR,38
CH Gayle,KXIP,RR,KXIP,55
CJ Jordan,KXIP,RR,KXIP,27
DJ Hooda,KXIP,RR,KXIP,15
GJ Maxwell,KXIP,RR,KXIP,36
J Archer,KXIP,RR,RR,38
JC Buttler,KXIP,RR,RR,42
KL Rahul,KXIP,RR,KXIP,46
Kartik Tyagi,KXIP,RR,RR,35
M Ashwin,KXIP,RR,KXIP,15
Mohammed Shami,KXIP,RR,KXIP,26
N Pooran,KXIP,RR,KXIP,40
R Tewatia,KXIP,RR,RR,28
RV Uthappa,KXIP,RR,RR,33
Ravi Bishnoi,KXIP,RR,KXIP,30
S Gopal,KXIP,RR,RR,36
SPD Smith,KXIP,RR,RR,37
SV Samson,KXIP,RR,RR,34
VR Aaron,KXIP,RR,RR,29
AS Yadav,MI,SRH,MI,24
Abdul Samad,MI,SRH,SRH,16
Abhishek Sharma,MI,SRH,SRH,16
DA Warner,MI,SRH,SRH,50
HH Pandya,MI,SRH,MI,33
Ishan Kishan,MI,SRH,MI,28
J Bairstow,MI,SRH,SRH,35
JJ Bumrah,MI,SRH,MI,27
JL Pattinson,MI,SRH,MI,26
KA Pollard,MI,SRH,MI,35
KH Pandya,MI,SRH,MI,30
KS Williamson,MI,SRH,SRH,41
MK Pandey,MI,SRH,SRH,29
Priyam Garg,MI,SRH,SRH,18
Q de Kock,MI,SRH,MI,37
RD Chahar,MI,SRH,MI,26
RG Sharma,MI,SRH,MI,38
Rashid Khan,MI,SRH,SRH,29
S Kaul,MI,SRH,SRH,24
Sandeep Sharma,MI,SRH,SRH,33
T Natarajan,MI,SRH,SRH,25
TA Boult,MI,SRH,MI,23
A Mishra,CSK,DC,DC,29
AR Patel,CSK,DC,DC,30
Anrich Nortje,CSK,DC,DC,13
Avesh Khan,CSK,DC,DC,30
DL Chahar,CSK,DC,CSK,23
F du Plessis,CSK,DC,CSK,32
Hazlewood,CSK,DC,CSK,24
K Rabada,CSK,DC,DC,25
KM Jadhav,CSK,DC,CSK,19
M Vijay,CSK,DC,CSK,30
MP Stoinis,CSK,DC,DC,34
MS Dhoni,CSK,DC,CSK,33
P Shaw,CSK,DC,DC,24
PP Chawla,CSK,DC,CSK,28
RA Jadeja,CSK,DC,CSK,31
RD Gaikwad,CSK,DC,CSK,30
RR Pant,CSK,DC,DC,38
S Curran,CSK,DC,CSK,29
S Dhawan,CSK,DC,DC,35
SR Watson,CSK,DC,CSK,52
SS Iyer,CSK,DC,DC,36
AB de Villiers,RCB,KKR,RCB,43
AD Russell,RCB,KKR,KKR,53
AJ Finch,RCB,KKR,RCB,29
CH Morris,RCB,KKR,RCB,32
CV Varun,RCB,KKR,KKR,32
D Padikkal,RCB,KKR,RCB,24
EJG Morgan,RCB,KKR,KKR,29
I Udana,RCB,KKR,RCB,18
KD Karthik,RCB,KKR,KKR,28
KL Nagarkoti,RCB,KKR,KKR,29
Mohammed Siraj,RCB,KKR,RCB,23
N Rana,RCB,KKR,KKR,38
N Saini,RCB,KKR,RCB,25
PJ Cummins,RCB,KKR,KKR,27
Prasidh Krishna,RCB,KKR,KKR,17
Prasidh Krishna ,RCB,KKR,KKR,17
RA Tripathi,RCB,KKR,KKR,28
Shubman Gill,RCB,KKR,KKR,32
T Banton,RCB,KKR,KKR,24
V Kohli,RCB,KKR,RCB,39
Washington Sundar,RCB,KKR,RCB,22
YS Chahal,RCB,KKR,RCB,26
AS Rajpoot,RR,MI,RR,28
AS Yadav,RR,MI,MI,25
BA Stokes,RR,MI,RR,36
HH Pandya,RR,MI,MI,35
Ishan Kishan,RR,MI,MI,29
J Archer,RR,MI,RR,36
JJ Bumrah,RR,MI,MI,29
JL Pattinson,RR,MI,MI,27
KA Pollard,RR,MI,MI,36
KH Pandya,RR,MI,MI,27
Kartik Tyagi,RR,MI,RR,34
Q de Kock,RR,MI,MI,39
R Tewatia,RR,MI,RR,26
RD Chahar,RR,MI,MI,27
RV Uthappa,RR,MI,RR,32
S Gopal,RR,MI,RR,35
SPD Smith,RR,MI,RR,35
SS Tiwary,RR,MI,MI,25
SV Samson,RR,MI,RR,33
TA Boult,RR,MI,MI,24
Abdul Samad,SRH,KXIP,SRH,19
Abhishek Sharma,SRH,KXIP,SRH,19
Arshdeep Singh,SRH,KXIP,KXIP,35
Arshdeep Singh ,SRH,KXIP,SRH,36
Cottrell,SRH,KXIP,KXIP,35
DA Warner,SRH,KXIP,SRH,53
GJ Maxwell,SRH,KXIP,KXIP,36
J Bairstow,SRH,KXIP,SRH,38
K Ahmed,SRH,KXIP,SRH,35
KL Rahul,SRH,KXIP,KXIP,47
KS Williamson,SRH,KXIP,SRH,44
M Ur Rahman ,SRH,KXIP,SRH,19
MA Agarwal,SRH,KXIP,KXIP,25
MK Pandey,SRH,KXIP,SRH,33
Mandeep Singh,SRH,KXIP,KXIP,25
Mohammed Shami,SRH,KXIP,KXIP,26
Mujeeb Ur Rahman,SRH,KXIP,SRH,29
N Pooran,SRH,KXIP,KXIP,41
Priyam Garg,SRH,KXIP,SRH,21
Rashid Khan,SRH,KXIP,SRH,32
Ravi Bishnoi,SRH,KXIP,KXIP,31
Sandeep Sharma,SRH,KXIP,SRH,36
Simran Singh,SRH,KXIP,SRH,37
T Natarajan,SRH,KXIP,SRH,28
AM Rahane,DC,RR,DC,34
Anrich Nortje,DC,RR,DC,14
BA Stokes,DC,RR,RR,37
Carey,DC,RR,DC,31
Deshpande,DC,RR,DC,27
HV Patel,DC,RR,DC,30
J Archer,DC,RR,RR,36
JC Buttler,DC,RR,RR,41
JD Unadkat,DC,RR,RR,30
K Rabada,DC,RR,DC,26
Kartik Tyagi,DC,RR,RR,34
MP Stoinis,DC,RR,DC,35
P Shaw,DC,RR,DC,25
R Ashwin,DC,RR,DC,24
R Parag,DC,RR,RR,35
R Tewatia,DC,RR,RR,27
RV Uthappa,DC,RR,RR,32
S Dhawan,DC,RR,DC,36
S Gopal,DC,RR,RR,35
SPD Smith,DC,RR,RR,36
SS Iyer,DC,RR,DC,37
SV Samson,DC,RR,RR,33
AB de Villiers,RCB,CSK,RCB,43
AJ Finch,RCB,CSK,RCB,29
AT Rayudu,RCB,CSK,CSK,29
CH Morris,RCB,CSK,RCB,32
D Padikkal,RCB,CSK,RCB,24
DL Chahar,RCB,CSK,CSK,22
F du Plessis,RCB,CSK,CSK,32
Gurkeerat Singh,RCB,CSK,RCB,16
Imran Tahir,RCB,CSK,CSK,34
M Ali,RCB,CSK,RCB,25
M Santner,RCB,CSK,CSK,16
MS Dhoni,RCB,CSK,CSK,33
Mohammed Siraj,RCB,CSK,RCB,23
Monu ,RCB,CSK,CSK,26
N Saini,RCB,CSK,RCB,25
RA Jadeja,RCB,CSK,CSK,31
RD Gaikwad,RCB,CSK,CSK,29
S Curran,RCB,CSK,CSK,29
V Kohli,RCB,CSK,RCB,40
Washington Sundar,RCB,CSK,RCB,22
YS Chahal,RCB,CSK,RCB,27
AD Russell,KKR,SRH,KKR,53
Abhishek Sharma,KKR,SRH,SRH,16
CV Varun,KKR,SRH,KKR,32
DA Warner,KKR,SRH,SRH,50
EJG Morgan,KKR,SRH,KKR,29
J Bairstow,KKR,SRH,SRH,35
K Ahmed,KKR,SRH,SRH,32
KD Karthik,KKR,SRH,KKR,29
KL Nagarkoti,KKR,SRH,KKR,30
Kuldeep Yadav,KKR,SRH,KKR,23
MK Pandey,KKR,SRH,SRH,29
Mohammad Nabi,KKR,SRH,SRH,24
N Rana,KKR,SRH,KKR,38
P Kumar,KKR,SRH,SRH,23
PJ Cummins,KKR,SRH,KKR,28
Rashid Khan,KKR,SRH,SRH,29
SP Narine,KKR,SRH,KKR,38
Shivam Mavi,KKR,SRH,KKR,33
Shubman Gill,KKR,SRH,KKR,33
T Natarajan,KKR,SRH,SRH,25
WP Saha,KKR,SRH,SRH,24
Arshdeep Singh,KXIP,DC,KXIP,35
CH Gayle,KXIP,DC,KXIP,56
DJ Hooda,KXIP,DC,KXIP,15
Deshpande,KXIP,DC,DC,29
GJ Maxwell,KXIP,DC,KXIP,36
HV Patel,KXIP,DC,DC,32
JDS Neesham,KXIP,DC,KXIP,31
K Rabada,KXIP,DC,DC,28
KL Rahul,KXIP,DC,KXIP,47
M Ashwin,KXIP,DC,KXIP,16
MA Agarwal,KXIP,DC,KXIP,25
MP Stoinis,KXIP,DC,DC,37
Mohammed Shami,KXIP,DC,KXIP,26
N Pooran,KXIP,DC,KXIP,41
P Shaw,KXIP,DC,DC,27
R Ashwin,KXIP,DC,DC,25
RR Pant,KXIP,DC,DC,41
Ravi Bishnoi,KXIP,DC,KXIP,31
S Dhawan,KXIP,DC,DC,38
S Hetmyer,KXIP,DC,DC,33
SS Iyer,KXIP,DC,DC,39
SV Samson,KXIP,DC,RR,35
A Zampa,RCB,MI,RCB,39
AB de Villiers,RCB,MI,RCB,44
AJ Finch,RCB,MI,RCB,30
AS Yadav,RCB,MI,MI,24
D Padikkal,RCB,MI,RCB,25
HH Pandya,RCB,MI,MI,34
I Udana,RCB,MI,RCB,19
Ishan Kishan,RCB,MI,MI,29
JJ Bumrah,RCB,MI,MI,28
JL Pattinson,RCB,MI,MI,27
KA Pollard,RCB,MI,MI,35
MK Pandey,RCB,MI,SRH,30
N Saini,RCB,MI,RCB,25
Q de Kock,RCB,MI,MI,38
RD Chahar,RCB,MI,MI,27
RG Sharma,RCB,MI,MI,38
S Dube,RCB,MI,RCB,14
SD Lad,RCB,MI,MI,28
TA Boult,RCB,MI,MI,23
V Kohli,RCB,MI,RCB,40
Washington Sundar,RCB,MI,RCB,23
YS Chahal,RCB,MI,RCB,27
nan,RCB,MI,MI,26
AM Rahane,DC,MI,DC,34
Anrich Nortje,DC,MI,DC,14
HH Pandya,DC,MI,MI,34
HV Patel,DC,MI,DC,29
Ishan Kishan,DC,MI,MI,29
JJ Bumrah,DC,MI,MI,28
K Rabada,DC,MI,DC,25
KA Pollard,DC,MI,MI,35
KH Pandya,DC,MI,MI,29
MP Stoinis,DC,MI,DC,34
NM Coulter-Nile,DC,MI,MI,35
P Shaw,DC,MI,DC,24
Q de Kock,DC,MI,MI,38
R Ashwin,DC,MI,DC,23
RD Chahar,DC,MI,MI,27
RG Sharma,DC,MI,MI,39
RR Pant,DC,MI,DC,38
S Dhawan,DC,MI,DC,35
SA Yadav,DC,MI,MI,14
SS Iyer,DC,MI,DC,36
SS Tiwary,DC,MI,MI,25
SV Samson,DC,MI,RR,33
TA Boult,DC,MI,MI,24
A Zampa,RCB,SRH,RCB,38
AB de Villiers,RCB,SRH,RCB,43
AJ Finch,RCB,SRH,RCB,30
D Padikkal,RCB,SRH,RCB,25
DA Warner,RCB,SRH,SRH,50
JO Holder,RCB,SRH,SRH,29
KS Williamson,RCB,SRH,SRH,41
M Ali,RCB,SRH,RCB,25
MK Pandey,RCB,SRH,SRH,29
Mohammed Siraj,RCB,SRH,RCB,24
N Saini,RCB,SRH,RCB,25
Priyam Garg,RCB,SRH,SRH,18
Rashid Khan,RCB,SRH,SRH,29
S Dube,RCB,SRH,RCB,13
S Nadeem,RCB,SRH,SRH,20
SP Goswami,RCB,SRH,SRH,18
Sandeep Sharma,RCB,SRH,SRH,33
T Natarajan,RCB,SRH,SRH,25
V Kohli,RCB,SRH,RCB,40
Washington Sundar,RCB,SRH,RCB,22
YS Chahal,RCB,SRH,RCB,27
Abdul Samad,DC,SRH,SRH,17
Anrich Nortje,DC,SRH,DC,13
DA Warner,DC,SRH,SRH,50
HV Patel,DC,SRH,DC,29
JO Holder,DC,SRH,SRH,29
K Rabada,DC,SRH,DC,25
KS Williamson,DC,SRH,SRH,41
MK Pandey,DC,SRH,SRH,30
MP Stoinis,DC,SRH,DC,34
Praveen Dubey,DC,SRH,DC,15
Priyam Garg,DC,SRH,SRH,19
R Ashwin,DC,SRH,DC,23
RR Pant,DC,SRH,DC,38
Rashid Khan,DC,SRH,SRH,30
S Dhawan,DC,SRH,DC,35
S Hetmyer,DC,SRH,DC,30
S Nadeem,DC,SRH,SRH,20
SP Goswami,DC,SRH,SRH,18
SS Iyer,DC,SRH,DC,36
Sandeep Sharma,DC,SRH,SRH,33
T Natarajan,DC,SRH,SRH,26
AJ Finch,DC,MI,RCB,30
AM Rahane,DC,MI,DC,34
Anrich Nortje,DC,MI,DC,14
HH Pandya,DC,MI,MI,34
HV Patel,DC,MI,DC,29
Ishan Kishan,DC,MI,MI,29
JJ Bumrah,DC,MI,MI,28
K Rabada,DC,MI,DC,25
KA Pollard,DC,MI,MI,35
KH Pandya,DC,MI,MI,26
MP Stoinis,DC,MI,DC,34
NM Coulter-Nile,DC,MI,MI,35
Praveen Dubey,DC,MI,DC,15
Q de Kock,DC,MI,MI,38
R Ashwin,DC,MI,DC,23
RG Sharma,DC,MI,MI,39
RR Pant,DC,MI,DC,38
S Dhawan,DC,MI,DC,35
S Hetmyer,DC,MI,DC,31
SA Yadav,DC,MI,MI,14
SS Iyer,DC,MI,DC,36
SS Tiwary,DC,MI,MI,25
TA Boult,DC,MI,MI,24
